laureate_id,name,category,year,birth_location,birth_lat,birth_lon,work_location,work_lat,work_lon,notes
chemistry_1901_160,Jacobus Henricus van 't Hoff,chemistry,1901,"Rotterdam, the Netherlands",51.925205,4.48911,"Berlin, Germany",52.522265,13.406852,
chemistry_1902_161,Hermann Emil Fischer,chemistry,1902,"Euskirchen, Prussia",50.661278,6.787256,"Berlin, Germany",52.522265,13.406852,
chemistry_1903_162,Svante August Arrhenius,chemistry,1903,"Vik, Sweden",55.6144,14.2852,"Stockholm, Sweden",59.325371,18.070794,
chemistry_1904_163,Sir William Ramsay,chemistry,1904,"Glasgow, Scotland",55.861111,-4.25,"London, United Kingdom",51.510235,-0.120852,
chemistry_1905_164,Johann Friedrich Wilhelm Adolf von Baeyer,chemistry,1905,"Berlin, Prussia",52.522265,13.406852,"Munich, Germany",48.134703,11.581995,
chemistry_1906_165,Henri Moissan,chemistry,1906,"Paris, France",48.860093,2.355954,"Paris, France",48.860093,2.355954,
chemistry_1907_166,Eduard Buchner,chemistry,1907,"Munich, Bavaria",48.134703,11.581995,"Berlin, Germany",52.522265,13.406852,
chemistry_1908_167,Ernest Rutherford,chemistry,1908,"Nelson, New Zealand",-41.298971,173.243545,"Manchester, United Kingdom",53.478756,-2.245094,
chemistry_1909_168,Wilhelm Ostwald,chemistry,1909,"Riga, Russian Empire",56.966035,24.106409,"Leipzig, Germany",51.339522,12.384015,
chemistry_1910_169,Otto Wallach,chemistry,1910,"Koenigsberg, Germany",54.716667,20.5,"Göttingen, Germany",51.539385,9.913113,
chemistry_1911_6,"Marie Curie, née Skłodowska",chemistry,1911,"Warsaw, Russian Empire",52.230046,21.011995,"Paris, France",48.860093,2.355954,
chemistry_1912_173,Paul Sabatier,chemistry,1912,"Carcassonne, France",43.215833,2.351389,"Toulouse, France",43.604154,1.442453,
chemistry_1912_172,Victor Grignard,chemistry,1912,"Cherbourg, France",49.633731,-1.622137,"Nancy, France",48.691336,6.185111,
chemistry_1913_174,Alfred Werner,chemistry,1913,"Mulhouse, France",47.75096,7.335412,"Zurich, Switzerland",47.376909,8.541697,
chemistry_1914_175,Theodore William Richards,chemistry,1914,"Germantown, PA, USA",40.043611,-75.181944,"Cambridge, MA, USA",42.374024,-71.107306,
chemistry_1915_176,Richard Martin Willstätter,chemistry,1915,"Karlsruhe, Germany",49.016667,8.4,"Berlin-Dahlem, Germany",52.453739,13.29313,
chemistry_1918_177,Fritz Haber,chemistry,1918,"Breslau, Prussia",51.11,17.0325,"Berlin-Dahlem, Germany",52.453739,13.29313,
chemistry_1920_178,Walther Hermann Nernst,chemistry,1920,"Briesen, Prussia",53.283333,18.95,"Berlin, Germany",52.522265,13.406852,
chemistry_1921_179,Frederick Soddy,chemistry,1921,"Eastbourne, United Kingdom",50.766389,0.286111,"Oxford, United Kingdom",51.753363,-1.260979,
chemistry_1922_180,Francis William Aston,chemistry,1922,"Harborne, United Kingdom",52.45,-1.97,"Cambridge, United Kingdom",52.194605,0.135092,
chemistry_1923_181,Fritz Pregl,chemistry,1923,"Laibach, Austria-Hungary",46.051389,14.506111,"Graz, Austria",47.071923,15.443848,
chemistry_1925_182,Richard Adolf Zsigmondy,chemistry,1925,"Vienna, Austrian Empire",48.207646,16.372793,"Göttingen, Germany",51.539385,9.913113,
chemistry_1926_183,The (Theodor) Svedberg,chemistry,1926,"Fleräng, Sweden",60.643,17.008,"Uppsala, Sweden",59.858503,17.638748,
chemistry_1927_184,Heinrich Otto Wieland,chemistry,1927,"Pforzheim, Germany",48.895,8.705,"Munich, Germany",48.134703,11.581995,
chemistry_1928_185,Adolf Otto Reinhold Windaus,chemistry,1928,"Berlin, Germany",52.522265,13.406852,"Göttingen, Germany",51.539385,9.913113,
chemistry_1929_186,Arthur Harden,chemistry,1929,"Manchester, United Kingdom",53.478756,-2.245094,"London, United Kingdom",51.510235,-0.120852,
chemistry_1929_187,Hans Karl August Simon von Euler-Chelpin,chemistry,1929,"Augsburg, Germany",48.370459,10.898174,"Stockholm, Sweden",59.325371,18.070794,
chemistry_1930_188,Hans Fischer,chemistry,1930,"Hoechst, Germany",50.098889,8.546667,"Munich, Germany",48.134703,11.581995,
chemistry_1931_189,Carl Bosch,chemistry,1931,"Cologne, Germany",50.938552,6.957702,"Heidelberg, Germany",49.39922,8.680522,
chemistry_1931_190,Friedrich Bergius,chemistry,1931,"Goldschmieden, near Breslau, Germany",51.1093,17.0386,"Heidelberg, Germany",49.39922,8.680522,"Wrocław, Poland"
chemistry_1932_191,Irving Langmuir,chemistry,1932,"Brooklyn, NY, USA",40.676379,-73.949819,"Schenectady, NY, USA",42.814412,-73.932739,
chemistry_1934_192,Harold Clayton Urey,chemistry,1934,"Walkerton, IN, USA",41.463889,-86.484389,"New York, NY, USA",40.715758,-74.0113,
chemistry_1935_193,Frédéric Joliot,chemistry,1935,"Paris, France",48.860093,2.355954,"Paris, France",48.860093,2.355954,
