laureate_id,name,category,year,birth_location,issue,enrichment_attempts,work_location_manual,notes
"physics_1903_6","Marie Curie","physics",1903,"Warsaw, Russian Empire (now Poland)","No affiliation data from any source","",,
"physics_1999_159","Martinus J.G. Veltman","physics",1999,"Waalwijk, the Netherlands","No affiliation data from any source","",,
"physics_2017_941","Rainer Weiss","physics",2017,"Berlin, Germany","No affiliation data from any source","",,
"physics_2017_942","Barry C. Barish","physics",2017,"Omaha, NE, USA","No affiliation data from any source","",,
"physics_2017_943","Kip S. Thorne","physics",2017,"Logan, UT, USA","No affiliation data from any source","",,
"chemistry_1993_278","Kary B. Mullis","chemistry",1993,"Lenoir, NC, USA","No affiliation data from any source","",,
"chemistry_2001_741","William Knowles","chemistry",2001,"Taunton, MA, USA","No affiliation data from any source","",,
"medicine_2005_790","J. Robin Warren","medicine",2005,"Adelaide, Australia","No affiliation data from any source","",,
"literature_1901_569","Sully Prudhomme","literature",1901,"Paris, France","No affiliation data from any source","",,
"literature_1902_571","Theodor Mommsen","literature",1902,"Garding, Schleswig (now Germany)","No affiliation data from any source","",,
"literature_1903_572","Bjørnstjerne Bjørnson","literature",1903,"Kvikne, Norway","No affiliation data from any source","",,
"literature_1904_573","Frédéric Mistral","literature",1904,"Maillane, France","No affiliation data from any source","",,
"literature_1904_574","José Echegaray","literature",1904,"Madrid, Spain","No affiliation data from any source","",,
"literature_1905_575","Henryk Sienkiewicz","literature",1905,"Wola Okrzejska, Poland","No affiliation data from any source","",,
"literature_1906_576","Giosuè Carducci","literature",1906,"Val di Castello, Tuscany (now Italy)","No affiliation data from any source","",,
"literature_1907_577","Rudyard Kipling","literature",1907,"Bombay (now Mumbai), British India (now India)","No affiliation data from any source","",,
"literature_1908_578","Rudolf Eucken","literature",1908,"Aurich, East Friesland (now Germany)","No affiliation data from any source","",,
"literature_1909_579","Selma Lagerlöf","literature",1909,"Mårbacka, Sweden","No affiliation data from any source","",,
"literature_1910_580","Paul Heyse","literature",1910,"Berlin, Prussia (now Germany)","No affiliation data from any source","",,
"literature_1911_581","Maurice Maeterlinck","literature",1911,"Ghent, Belgium","No affiliation data from any source","",,
"literature_1912_582","Gerhart Hauptmann","literature",1912,"Bad Salzbrunn, Prussia (now Poland)","No affiliation data from any source","",,
"literature_1913_583","Rabindranath Tagore","literature",1913,"Calcutta, India","No affiliation data from any source","",,
"literature_1915_584","Romain Rolland","literature",1915,"Clamecy, France","No affiliation data from any source","",,
"literature_1916_585","Verner von Heidenstam","literature",1916,"Olshammar, Sweden","No affiliation data from any source","",,
"literature_1917_586","Karl Gjellerup","literature",1917,"Roholte, Denmark","No affiliation data from any source","",,
"literature_1917_587","Henrik Pontoppidan","literature",1917,"Fredericia, Denmark","No affiliation data from any source","",,
"literature_1919_588","Carl Spitteler","literature",1919,"Liestal, Switzerland","No affiliation data from any source","",,
"literature_1920_589","Knut Hamsun","literature",1920,"Lom, Norway","No affiliation data from any source","",,
"literature_1921_590","Anatole France","literature",1921,"Paris, France","No affiliation data from any source","",,
"literature_1922_592","Jacinto Benavente","literature",1922,"Madrid, Spain","No affiliation data from any source","",,
"literature_1923_593","William Butler Yeats","literature",1923,"Dublin, Ireland","No affiliation data from any source","",,
"literature_1924_594","Władysław Reymont","literature",1924,"Kobiele Wielkie, Russian Empire (now Poland)","No affiliation data from any source","",,
"literature_1925_596","George Bernard Shaw","literature",1925,"Dublin, Ireland","No affiliation data from any source","",,
"literature_1926_597","Grazia Deledda","literature",1926,"Nuoro, Sardinia, Italy","No affiliation data from any source","",,
"literature_1927_600","Henri Bergson","literature",1927,"Paris, France","No affiliation data from any source","",,
"literature_1928_601","Sigrid Undset","literature",1928,"Kalundborg, Denmark","No affiliation data from any source","",,
"literature_1929_602","Thomas Mann","literature",1929,"Lübeck, Germany","No affiliation data from any source","",,
"literature_1930_603","Sinclair Lewis","literature",1930,"Sauk Centre, MN, USA","No affiliation data from any source","",,
"literature_1931_604","Erik Axel Karlfeldt","literature",1931,"Karlbo, Sweden","No affiliation data from any source","",,
"literature_1932_605","John Galsworthy","literature",1932,"Kingston Hill, United Kingdom","No affiliation data from any source","",,
"literature_1933_606","Ivan Bunin","literature",1933,"Voronezh, Russia","No affiliation data from any source","",,
"literature_1934_607","Luigi Pirandello","literature",1934,"Agrigento, Sicily, Italy","No affiliation data from any source","",,
"literature_1936_608","Eugene O'Neill","literature",1936,"New York, NY, USA","No affiliation data from any source","",,
"literature_1937_609","Roger Martin du Gard","literature",1937,"Neuilly-sur-Seine, France","No affiliation data from any source","",,
"literature_1938_610","Pearl Buck","literature",1938,"Hillsboro, WV, USA","No affiliation data from any source","",,
"literature_1939_613","Frans Eemil Sillanpää","literature",1939,"Hämeenkyrö, Russian Empire (now Finland)","No affiliation data from any source","",,
"literature_1944_614","Johannes V. Jensen","literature",1944,"Farsø, Denmark","No affiliation data from any source","",,
"literature_1945_615","Gabriela Mistral","literature",1945,"Vicuña, Chile","No affiliation data from any source","",,
"literature_1946_617","Hermann Hesse","literature",1946,"Calw, Germany","No affiliation data from any source","",,
"literature_1947_618","André Gide","literature",1947,"Paris, France","No affiliation data from any source","",,
"literature_1948_619","T.S. Eliot","literature",1948,"St. Louis, MO, USA","No affiliation data from any source","",,
"literature_1949_620","William Faulkner","literature",1949,"New Albany, MS, USA","No affiliation data from any source","",,
"literature_1950_621","Bertrand Russell","literature",1950,"Trelleck, United Kingdom","No affiliation data from any source","",,
"literature_1951_622","Pär Lagerkvist","literature",1951,"Växjö, Sweden","No affiliation data from any source","",,
"literature_1952_623","François Mauriac","literature",1952,"Bordeaux, France","No affiliation data from any source","",,
"literature_1953_624","Winston Churchill","literature",1953,"Woodstock, United Kingdom","No affiliation data from any source","",,
"literature_1954_625","Ernest Hemingway","literature",1954,"Oak Park, IL, USA","No affiliation data from any source","",,
"literature_1955_626","Halldór Laxness","literature",1955,"Reykjavik, Iceland","No affiliation data from any source","",,
"literature_1956_627","Juan Ramón Jiménez","literature",1956,"Moguer, Spain","No affiliation data from any source","",,
"literature_1957_628","Albert Camus","literature",1957,"Mondovi, French Algeria (now Algeria)","No affiliation data from any source","",,
"literature_1958_629","Boris Pasternak","literature",1958,"Moscow, Russia","No affiliation data from any source","",,
"literature_1959_630","Salvatore Quasimodo","literature",1959,"Modica, Italy","No affiliation data from any source","",,
"literature_1960_631","Saint-John Perse","literature",1960,"Pointe-à-Pitre, Guadeloupe, France","No affiliation data from any source","",,
"literature_1961_633","Ivo Andrić","literature",1961,"Dolac, Bosnia (now Bosnia and Herzegovina)","No affiliation data from any source","",,
"literature_1962_634","John Steinbeck","literature",1962,"Salinas, CA, USA","No affiliation data from any source","",,
"literature_1963_635","Giorgos Seferis","literature",1963,"Smyrna (now Izmir), Ottoman Empire (now Turkey)","No affiliation data from any source","",,
"literature_1964_637","Jean-Paul Sartre","literature",1964,"Paris, France","No affiliation data from any source","",,
"literature_1965_638","Mikhail Sholokhov","literature",1965,"Veshenskaya, Russia","No affiliation data from any source","",,
"literature_1966_639","Shmuel Agnon","literature",1966,"Buczacz (now Buchach), Austria-Hungary (now Ukraine)","No affiliation data from any source","",,
"literature_1966_640","Nelly Sachs","literature",1966,"Berlin, Germany","No affiliation data from any source","",,
"literature_1967_641","Miguel Angel Asturias","literature",1967,"Guatemala City, Guatemala","No affiliation data from any source","",,
"literature_1968_642","Yasunari Kawabata","literature",1968,"Osaka, Japan","No affiliation data from any source","",,
"literature_1969_643","Samuel Beckett","literature",1969,"Dublin, Ireland","No affiliation data from any source","",,
"literature_1970_644","Aleksandr Solzhenitsyn","literature",1970,"Kislovodsk, Russia","No affiliation data from any source","",,
"literature_1971_645","Pablo Neruda","literature",1971,"Parral, Chile","No affiliation data from any source","",,
"literature_1972_647","Heinrich Böll","literature",1972,"Cologne, Germany","No affiliation data from any source","",,
"literature_1973_648","Patrick White","literature",1973,"London, United Kingdom","No affiliation data from any source","",,
"literature_1974_649","Eyvind Johnson","literature",1974,"Svartbjörnsbyn, Sweden","No affiliation data from any source","",,
"literature_1974_650","Harry Martinson","literature",1974,"Jämshög, Sweden","No affiliation data from any source","",,
"literature_1975_651","Eugenio Montale","literature",1975,"Genoa, Italy","No affiliation data from any source","",,
"literature_1976_652","Saul Bellow","literature",1976,"Lachine, Quebec (now Montreal), Canada","No affiliation data from any source","",,
"literature_1977_653","Vicente Aleixandre","literature",1977,"Sevilla, Spain","No affiliation data from any source","",,
"literature_1978_654","Isaac Bashevis Singer","literature",1978,"Leoncin, Russian Empire (now Poland)","No affiliation data from any source","",,
"literature_1979_655","Odysseus Elytis","literature",1979,"Iráklion, Crete (now Greece)","No affiliation data from any source","",,
"literature_1980_657","Czesław Miłosz","literature",1980,"Śeteniai, Russian Empire (now Lithuania)","No affiliation data from any source","",,
"literature_1981_658","Elias Canetti","literature",1981,"Ruse, Bulgaria","No affiliation data from any source","",,
"literature_1982_659","Gabriel García Márquez","literature",1982,"Aracataca, Colombia","No affiliation data from any source","",,
"literature_1983_660","William Golding","literature",1983,"Newquay, United Kingdom","No affiliation data from any source","",,
"literature_1984_661","Jaroslav Seifert","literature",1984,"Prague, Austria-Hungary (now Czech Republic)","No affiliation data from any source","",,
"literature_1985_662","Claude Simon","literature",1985,"Tananarive (now Antananarivo), Madagascar","No affiliation data from any source","",,
"literature_1986_663","Wole Soyinka","literature",1986,"Abeokuta, Nigeria","No affiliation data from any source","",,
"literature_1987_664","Joseph Brodsky","literature",1987,"Leningrad (now St. Petersburg), USSR (now Russia)","No affiliation data from any source","",,
"literature_1988_665","Naguib Mahfouz","literature",1988,"Cairo, Egypt","No affiliation data from any source","",,
"literature_1989_666","Camilo José Cela","literature",1989,"Iria Flavia, Spain","No affiliation data from any source","",,
"literature_1990_667","Octavio Paz","literature",1990,"Mexico City, Mexico","No affiliation data from any source","",,
"literature_1991_668","Nadine Gordimer","literature",1991,"Springs, South Africa","No affiliation data from any source","",,
"literature_1992_669","Derek Walcott","literature",1992,"Castries, Saint Lucia","No affiliation data from any source","",,
"literature_1993_670","Toni Morrison","literature",1993,"Lorain, OH, USA","No affiliation data from any source","",,
"literature_1994_671","Kenzaburo Oe","literature",1994,"Uchiko, Japan","No affiliation data from any source","",,
"literature_1995_672","Seamus Heaney","literature",1995,"Casteldàwson, Northern Ireland","No affiliation data from any source","",,
"literature_1996_673","Wisława Szymborska","literature",1996,"Bnin (now Kórnik), Poland","No affiliation data from any source","",,
"literature_1997_674","Dario Fo","literature",1997,"Leggiuno-Sangiano, Italy","No affiliation data from any source","",,
"literature_1998_675","José Saramago","literature",1998,"Azinhaga, Portugal","No affiliation data from any source","",,
"literature_1999_676","Günter Grass","literature",1999,"Danzig (now Gdansk), Free City of Danzig (now Poland)","No affiliation data from any source","",,
